track_popularity,mode,speechiness,instrumentalness,energy,danceability,liveness,acousticness,valence,duration_ms,type,key,tempo,loudness
62,0.0,0.343,0.0,0.766,0.543,0.155,0.423,0.729,204805.0,audio_features,0.0,106.869,-3.387
67,0.0,0.0826,0.0,0.792,0.749,0.109,0.292,0.239,180000.0,audio_features,10.0,144.064,-4.151
43,0.0,0.18,0.0,0.821,0.491,0.444,0.49,0.357,222929.0,audio_features,7.0,78.164,-3.712
32,1.0,0.53,0.0,0.823,0.41,0.538,0.216,0.529,223124.0,audio_features,1.0,170.343,-6.856
50,0.0,0.326,0.0,0.446,0.745,0.113,0.619,0.0396,220488.0,audio_features,2.0,122.982,-7.518
50,0.0,0.0419,5.43e-05,0.466,0.487,0.072,0.328,0.352,269680.0,audio_features,9.0,86.83,-9.257
47,0.0,0.216,4.58e-06,0.469,0.83,0.113,0.283,0.829,247059.0,audio_features,1.0,81.615,-8.899
47,0.0,0.111,0.0,0.501,0.814,0.325,0.282,0.526,237946.0,audio_features,5.0,145.034,-7.722
42,0.0,0.247,0.0,0.468,0.863,0.181,0.231,0.514,192932.0,audio_features,0.0,86.455,-5.757
33,1.0,0.287,0.0,0.633,0.873,0.111,0.00644,0.665,152195.0,audio_features,7.0,164.018,-4.683
35,1.0,0.065,0.0,0.698,0.724,0.36,0.0108,0.808,184879.0,audio_features,1.0,170.045,-5.391
43,1.0,0.128,0.0,0.385,0.815,0.368,0.145,0.109,149078.0,audio_features,1.0,77.293,-5.654
27,0.0,0.357,0.0,0.571,0.577,0.459,0.299,0.459,271184.0,audio_features,1.0,85.41,-7.405
32,1.0,0.176,2.59e-06,0.472,0.788,0.104,0.803,0.453,234783.0,audio_features,9.0,80.519,-7.864
35,0.0,0.355,0.0,0.762,0.505,0.134,0.43,0.707,204805.0,audio_features,0.0,149.952,-3.436
47,0.0,0.0824,0.0,0.783,0.75,0.0959,0.301,0.249,180000.0,audio_features,10.0,144.034,-4.183
57,1.0,0.529,0.0,0.587,0.423,0.114,0.765,0.33,253803.0,audio_features,6.0,180.331,-6.635
62,0.0,0.102,0.000317,0.788,0.631,0.108,0.371,0.544,240957.0,audio_features,4.0,157.769,-7.142
68,1.0,0.23,0.0,0.404,0.789,0.219,0.205,0.472,235566.0,audio_features,1.0,122.062,-8.364
81,0.0,0.274,0.0,0.539,0.421,0.111,0.779,0.523,281519.0,audio_features,11.0,89.177,-5.456
56,1.0,0.135,0.000285,0.361,0.733,0.0942,0.348,0.0361,353698.0,audio_features,1.0,94.902,-11.129
54,1.0,0.36,0.0,0.81,0.673,0.133,0.0322,0.564,266325.0,audio_features,8.0,166.084,-3.793
59,0.0,0.418,0.0,0.66,0.743,0.101,0.115,0.549,240218.0,audio_features,4.0,192.031,-4.802
60,0.0,0.265,0.0,0.88,0.555,0.0723,0.0678,0.391,205264.0,audio_features,11.0,87.195,-4.325
55,0.0,0.0398,5.61e-06,0.501,0.477,0.0953,0.706,0.689,253562.0,audio_features,11.0,81.376,-9.178
50,0.0,0.133,7.26e-06,0.495,0.549,0.0979,0.603,0.385,294651.0,audio_features,6.0,81.012,-5.661
55,1.0,0.268,0.0,0.844,0.498,0.102,0.0111,0.282,254022.0,audio_features,2.0,88.435,-2.834
57,0.0,0.102,3.24e-05,0.729,0.338,0.18,0.758,0.543,283816.0,audio_features,6.0,184.174,-6.419
55,1.0,0.33,0.0,0.748,0.508,0.168,0.281,0.225,252884.0,audio_features,1.0,100.414,-4.997
48,0.0,0.133,0.000116,0.454,0.641,0.065,0.179,0.302,343455.0,audio_features,5.0,78.036,-8.344
62,0.0,0.46,0.0,0.489,0.619,0.106,0.782,0.328,225012.0,audio_features,11.0,126.046,-11.25
58,0.0,0.315,7.98e-05,0.494,0.505,0.105,0.414,0.141,251240.0,audio_features,10.0,171.978,-8.635
68,0.0,0.0588,0.0108,0.178,0.643,0.122,0.484,0.0674,189289.0,audio_features,4.0,85.042,-8.56
24,1.0,0.446,3.05e-06,0.57,0.445,0.114,0.732,0.336,253803.0,audio_features,6.0,83.717,-6.842
31,0.0,0.115,0.000332,0.747,0.629,0.144,0.361,0.534,240957.0,audio_features,4.0,157.531,-7.215
32,0.0,0.407,0.0,0.391,0.514,0.112,0.21,0.471,235566.0,audio_features,8.0,79.312,-8.449
45,0.0,0.198,0.0,0.517,0.484,0.111,0.785,0.536,281519.0,audio_features,11.0,106.855,-5.473
24,1.0,0.116,0.000638,0.354,0.74,0.0942,0.366,0.0357,353698.0,audio_features,1.0,94.911,-11.251
26,1.0,0.347,0.0,0.809,0.669,0.133,0.0318,0.58,266325.0,audio_features,8.0,166.109,-3.823
28,1.0,0.414,0.0,0.657,0.763,0.0947,0.122,0.53,240218.0,audio_features,0.0,192.041,-4.85
27,0.0,0.256,0.0,0.863,0.502,0.0717,0.0514,0.335,205264.0,audio_features,11.0,86.05,-4.462
25,0.0,0.0398,5.61e-06,0.501,0.477,0.0953,0.706,0.689,253562.0,audio_features,11.0,81.376,-9.178
22,0.0,0.154,1.04e-05,0.486,0.359,0.0985,0.598,0.413,294651.0,audio_features,6.0,81.755,-5.684
23,1.0,0.323,0.0,0.83,0.393,0.0897,0.00999,0.28,254022.0,audio_features,2.0,89.209,-2.956
28,0.0,0.0637,0.000123,0.711,0.417,0.18,0.766,0.533,283816.0,audio_features,6.0,91.608,-6.482
26,1.0,0.27,0.0,0.734,0.583,0.19,0.262,0.271,252884.0,audio_features,1.0,99.044,-5.09
19,0.0,0.105,0.000107,0.453,0.68,0.065,0.173,0.307,343455.0,audio_features,5.0,78.066,-8.424
29,0.0,0.478,0.0,0.476,0.577,0.106,0.777,0.32,225012.0,audio_features,11.0,126.344,-11.265
27,0.0,0.306,0.000114,0.482,0.515,0.105,0.425,0.143,251240.0,audio_features,10.0,172.161,-8.701
31,0.0,0.0601,0.0259,0.171,0.634,0.119,0.475,0.0769,189289.0,audio_features,4.0,85.013,-8.623
18,1.0,0.174,0.0361,0.422,0.477,0.107,0.939,0.0815,176173.0,audio_features,6.0,87.269,-10.389
26,0.0,0.0823,0.000762,0.696,0.597,0.126,0.387,0.427,290787.0,audio_features,1.0,67.526,-6.799
31,1.0,0.386,0.0,0.535,0.565,0.165,0.537,0.22,375053.0,audio_features,8.0,159.909,-5.158
19,0.0,0.0325,0.301,0.717,0.794,0.146,0.00454,0.937,234173.0,audio_features,9.0,127.446,-4.629
23,0.0,0.47,0.0,0.451,0.756,0.0942,0.588,0.555,188187.0,audio_features,11.0,143.864,-11.287
24,0.0,0.269,0.0,0.844,0.622,0.455,0.165,0.12,302493.0,audio_features,10.0,94.449,-3.759
17,0.0,0.0793,2.32e-06,0.502,0.565,0.164,0.362,0.332,193973.0,audio_features,11.0,103.418,-5.594
16,1.0,0.257,0.0,0.755,0.545,0.209,0.66,0.481,230707.0,audio_features,8.0,115.029,-5.438
25,0.0,0.038,0.0242,0.887,0.76,0.668,0.107,0.783,230493.0,audio_features,11.0,120.396,-4.902
49,0.0,0.337,0.0,0.929,0.441,0.165,0.203,0.546,257680.0,audio_features,5.0,162.395,-2.199
16,0.0,0.337,0.0,0.906,0.775,0.773,0.159,0.841,209960.0,audio_features,2.0,150.08,-2.806
30,1.0,0.329,0.0,0.82,0.433,0.0852,0.00371,0.405,382267.0,audio_features,1.0,87.076,-3.136
18,0.0,0.144,6.73e-06,0.498,0.691,0.107,0.191,0.534,262040.0,audio_features,0.0,94.99,-5.716
28,1.0,0.0895,0.000652,0.509,0.456,0.122,0.205,0.239,139587.0,audio_features,2.0,147.154,-6.204
19,0.0,0.898,1.79e-05,0.782,0.468,0.107,0.812,0.24,243720.0,audio_features,11.0,159.621,-8.303
13,1.0,0.053,0.856,0.0878,0.393,0.316,0.989,0.122,174400.0,audio_features,5.0,185.562,-21.628
19,1.0,0.0736,0.0,0.497,0.413,0.179,0.636,0.368,213493.0,audio_features,6.0,112.306,-9.039
20,1.0,0.0726,0.0,0.852,0.393,0.291,0.0193,0.15,332547.0,audio_features,6.0,106.902,-2.278
61,0.0,0.375,0.0,0.596,0.555,0.123,0.133,0.145,136187.0,audio_features,9.0,77.324,-9.09
80,1.0,0.123,0.0126,0.412,0.912,0.104,0.0165,0.423,238614.0,audio_features,7.0,154.983,-8.074
62,1.0,0.147,0.0,0.474,0.758,0.116,0.0152,0.0542,184960.0,audio_features,1.0,76.061,-8.72
67,1.0,0.254,0.0,0.677,0.414,0.0793,0.0248,0.0853,302173.0,audio_features,1.0,172.521,-5.12
86,1.0,0.109,8.29e-05,0.449,0.754,0.552,0.0332,0.357,198973.0,audio_features,7.0,77.169,-9.211
69,0.0,0.343,0.0,0.586,0.899,0.0836,0.279,0.492,214467.0,audio_features,11.0,150.002,-7.866
62,1.0,0.741,0.0,0.689,0.527,0.498,0.161,0.31,195720.0,audio_features,2.0,170.538,-7.87
71,0.0,0.0682,0.00131,0.575,0.754,0.276,0.045,0.491,205147.0,audio_features,4.0,86.009,-8.393
70,0.0,0.182,0.0,0.598,0.761,0.0839,0.126,0.446,163974.0,audio_features,10.0,173.897,-7.249
65,1.0,0.246,0.0,0.849,0.486,0.143,0.0481,0.519,216333.0,audio_features,1.0,152.086,-5.432
60,1.0,0.138,6.5e-06,0.491,0.758,0.292,0.00354,0.334,223240.0,audio_features,11.0,140.121,-9.877
57,1.0,0.314,0.0,0.547,0.708,0.159,0.727,0.549,226907.0,audio_features,1.0,83.8,-7.607
60,0.0,0.0388,0.000125,0.218,0.687,0.106,0.85,0.269,206027.0,audio_features,9.0,91.991,-13.539
61,1.0,0.0357,0.0456,0.482,0.776,0.11,0.477,0.134,247893.0,audio_features,1.0,136.008,-11.269
70,1.0,0.0414,0.0,0.271,0.764,0.175,0.037,0.0371,262453.0,audio_features,0.0,116.019,-5.697
79,1.0,0.0707,9.7e-05,0.909,0.585,0.119,0.0891,0.758,210747.0,audio_features,8.0,93.372,-6.474
76,0.0,0.0581,0.000338,0.319,0.807,0.101,0.133,0.299,182080.0,audio_features,0.0,94.992,-8.152
55,1.0,0.139,0.00123,0.571,0.657,0.0735,0.11,0.622,207307.0,audio_features,2.0,167.958,-12.519
66,0.0,0.209,0.0103,0.473,0.85,0.108,0.117,0.38,157605.0,audio_features,10.0,85.454,-5.747
