Unnamed: 0,artist,album,track_name,track_id,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
23,Drake,Her Loss,Treacherous Twins,7y8oNMMKf0E7pgDeRGbsDf,45,0.504,0.516,1,-7.501,1,0.426,0.0841,0.0,0.135,0.555,80.01,audio_features,7y8oNMMKf0E7pgDeRGbsDf,spotify:track:7y8oNMMKf0E7pgDeRGbsDf,https://api.spotify.com/v1/tracks/7y8oNMMKf0E7pgDeRGbsDf,https://api.spotify.com/v1/audio-analysis/7y8oNMMKf0E7pgDeRGbsDf,180098,4
24,Drake,Her Loss,Circo Loco,6n849Tolbsyapue50SlLWS,53,0.725,0.584,1,-8.553,1,0.0739,0.0107,0.0,0.312,0.277,103.977,audio_features,6n849Tolbsyapue50SlLWS,spotify:track:6n849Tolbsyapue50SlLWS,https://api.spotify.com/v1/tracks/6n849Tolbsyapue50SlLWS,https://api.spotify.com/v1/audio-analysis/6n849Tolbsyapue50SlLWS,236795,4
25,Drake,Her Loss,Pussy & Millions (feat. Travis Scott),4GLWeHYEynOJA6bGJuw2N9,51,0.752,0.617,4,-6.659,0,0.135,0.0806,0.0,0.331,0.404,122.027,audio_features,4GLWeHYEynOJA6bGJuw2N9,spotify:track:4GLWeHYEynOJA6bGJuw2N9,https://api.spotify.com/v1/tracks/4GLWeHYEynOJA6bGJuw2N9,https://api.spotify.com/v1/audio-analysis/4GLWeHYEynOJA6bGJuw2N9,242027,4
26,Drake,Her Loss,Broke Boys,7fmu4EBCET6RMnpDp3oZSC,47,0.571,0.53,2,-7.47,1,0.29,0.0114,3.96e-05,0.22,0.0879,161.987,audio_features,7fmu4EBCET6RMnpDp3oZSC,spotify:track:7fmu4EBCET6RMnpDp3oZSC,https://api.spotify.com/v1/tracks/7fmu4EBCET6RMnpDp3oZSC,https://api.spotify.com/v1/audio-analysis/7fmu4EBCET6RMnpDp3oZSC,225439,4
27,Drake,Her Loss,Middle of the Ocean,581wWhlbLcjFibO3wVcOmm,46,0.598,0.696,4,-5.832,0,0.377,0.172,0.0,0.429,0.265,76.226,audio_features,581wWhlbLcjFibO3wVcOmm,spotify:track:581wWhlbLcjFibO3wVcOmm,https://api.spotify.com/v1/tracks/581wWhlbLcjFibO3wVcOmm,https://api.spotify.com/v1/audio-analysis/581wWhlbLcjFibO3wVcOmm,356389,3
28,Drake,Her Loss,Jumbotron Shit Poppin,0qhX394bbCj1YzJGnLxqoP,46,0.589,0.521,6,-6.334,0,0.46,0.239,0.0,0.208,0.357,198.276,audio_features,0qhX394bbCj1YzJGnLxqoP,spotify:track:0qhX394bbCj1YzJGnLxqoP,https://api.spotify.com/v1/tracks/0qhX394bbCj1YzJGnLxqoP,https://api.spotify.com/v1/audio-analysis/0qhX394bbCj1YzJGnLxqoP,137151,4
29,Drake,Her Loss,More M’s,16MqFnJTHCWC67pv4ISyKl,47,0.643,0.497,1,-6.749,1,0.146,0.0414,0.00253,0.145,0.0904,164.915,audio_features,16MqFnJTHCWC67pv4ISyKl,spotify:track:16MqFnJTHCWC67pv4ISyKl,https://api.spotify.com/v1/tracks/16MqFnJTHCWC67pv4ISyKl,https://api.spotify.com/v1/audio-analysis/16MqFnJTHCWC67pv4ISyKl,221406,4
30,Drake,Her Loss,3AM on Glenwood,5VfNDZtMfc6OB2ovMSHtnx,39,0.485,0.684,1,-8.321,1,0.376,0.0461,2.53e-05,0.163,0.189,180.862,audio_features,5VfNDZtMfc6OB2ovMSHtnx,spotify:track:5VfNDZtMfc6OB2ovMSHtnx,https://api.spotify.com/v1/tracks/5VfNDZtMfc6OB2ovMSHtnx,https://api.spotify.com/v1/audio-analysis/5VfNDZtMfc6OB2ovMSHtnx,178329,4
31,Drake,Her Loss,I Guess It’s Fuck Me,736F3PTZVdvyge2fM8BEhM,42,0.398,0.248,4,-11.877,0,0.0603,0.47,2.61e-05,0.105,0.0782,83.89,audio_features,736F3PTZVdvyge2fM8BEhM,spotify:track:736F3PTZVdvyge2fM8BEhM,https://api.spotify.com/v1/tracks/736F3PTZVdvyge2fM8BEhM,https://api.spotify.com/v1/audio-analysis/736F3PTZVdvyge2fM8BEhM,263988,5
32,Drake,"Honestly, Nevermind",Intro,1kNdtonJXHorsVpWerK8C2,60,0.193,0.0218,0,-31.16,0,0.0389,0.955,0.88,0.117,0.213,125.501,audio_features,1kNdtonJXHorsVpWerK8C2,spotify:track:1kNdtonJXHorsVpWerK8C2,https://api.spotify.com/v1/tracks/1kNdtonJXHorsVpWerK8C2,https://api.spotify.com/v1/audio-analysis/1kNdtonJXHorsVpWerK8C2,36935,3
33,Drake,"Honestly, Nevermind",Falling Back,1vbn9fEyw1IYhqgZJdu9ZB,65,0.718,0.758,10,-8.29,1,0.0703,0.238,0.00653,0.11,0.349,118.989,audio_features,1vbn9fEyw1IYhqgZJdu9ZB,spotify:track:1vbn9fEyw1IYhqgZJdu9ZB,https://api.spotify.com/v1/tracks/1vbn9fEyw1IYhqgZJdu9ZB,https://api.spotify.com/v1/audio-analysis/1vbn9fEyw1IYhqgZJdu9ZB,266179,4
34,Drake,"Honestly, Nevermind",Texts Go Green,4FIgHqXd4KkOwxrGeLDYM2,66,0.765,0.627,0,-4.607,1,0.0622,0.000916,0.195,0.0847,0.536,118.997,audio_features,4FIgHqXd4KkOwxrGeLDYM2,spotify:track:4FIgHqXd4KkOwxrGeLDYM2,https://api.spotify.com/v1/tracks/4FIgHqXd4KkOwxrGeLDYM2,https://api.spotify.com/v1/audio-analysis/4FIgHqXd4KkOwxrGeLDYM2,308820,4
35,Drake,"Honestly, Nevermind",Currents,1eCFz60zd7mAXgWLapPd9B,66,0.883,0.283,0,-12.653,1,0.113,0.104,0.00167,0.0935,0.416,122.013,audio_features,1eCFz60zd7mAXgWLapPd9B,spotify:track:1eCFz60zd7mAXgWLapPd9B,https://api.spotify.com/v1/tracks/1eCFz60zd7mAXgWLapPd9B,https://api.spotify.com/v1/audio-analysis/1eCFz60zd7mAXgWLapPd9B,157390,4
36,Drake,"Honestly, Nevermind",A Keeper,0nAZGkBGKQCXyaoSJfRhC1,70,0.6,0.482,1,-11.596,1,0.0701,0.512,0.000104,0.115,0.323,121.909,audio_features,0nAZGkBGKQCXyaoSJfRhC1,spotify:track:0nAZGkBGKQCXyaoSJfRhC1,https://api.spotify.com/v1/tracks/0nAZGkBGKQCXyaoSJfRhC1,https://api.spotify.com/v1/audio-analysis/0nAZGkBGKQCXyaoSJfRhC1,173097,4
37,Drake,"Honestly, Nevermind",Calling My Name,7sT7kZEYd1MrmzLLIRVZas,66,0.826,0.276,11,-11.227,0,0.266,0.62,8.53e-05,0.118,0.484,123.985,audio_features,7sT7kZEYd1MrmzLLIRVZas,spotify:track:7sT7kZEYd1MrmzLLIRVZas,https://api.spotify.com/v1/tracks/7sT7kZEYd1MrmzLLIRVZas,https://api.spotify.com/v1/audio-analysis/7sT7kZEYd1MrmzLLIRVZas,129965,4
38,Drake,"Honestly, Nevermind",Sticky,4rmVZajAF7PkrCagGPHbqa,78,0.853,0.495,6,-14.63,1,0.14,0.0917,0.000217,0.0844,0.0774,137.027,audio_features,4rmVZajAF7PkrCagGPHbqa,spotify:track:4rmVZajAF7PkrCagGPHbqa,https://api.spotify.com/v1/tracks/4rmVZajAF7PkrCagGPHbqa,https://api.spotify.com/v1/audio-analysis/4rmVZajAF7PkrCagGPHbqa,243228,4
39,Drake,"Honestly, Nevermind",Massive,28JBD8p18xNuOfyV7Cotdn,74,0.499,0.671,4,-6.774,0,0.0561,0.114,0.0169,0.148,0.0557,124.994,audio_features,28JBD8p18xNuOfyV7Cotdn,spotify:track:28JBD8p18xNuOfyV7Cotdn,https://api.spotify.com/v1/tracks/28JBD8p18xNuOfyV7Cotdn,https://api.spotify.com/v1/audio-analysis/28JBD8p18xNuOfyV7Cotdn,336924,3
