popularity,name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
83,Sorry,spotify:track:09CtPGIpYB4BrO8qb1RGsF,0.654,0.76,0,-3.669,0,0.045,0.0797,0,0.299,0.41,99.945,audio_features,09CtPGIpYB4BrO8qb1RGsF,spotify:track:09CtPGIpYB4BrO8qb1RGsF,https://api.spotify.com/v1/tracks/09CtPGIpYB4BrO8qb1RGsF,https://api.spotify.com/v1/audio-analysis/09CtPGIpYB4BrO8qb1RGsF,200787,4
81,Private Landing (feat. Justin Bieber & Future),spotify:track:52NGJPcLUzQq5w7uv4e5gf,0.843,0.669,1,-4.105,0,0.0639,0.0846,1.28E-05,0.105,0.435,136.979,audio_features,52NGJPcLUzQq5w7uv4e5gf,spotify:track:52NGJPcLUzQq5w7uv4e5gf,https://api.spotify.com/v1/tracks/52NGJPcLUzQq5w7uv4e5gf,https://api.spotify.com/v1/audio-analysis/52NGJPcLUzQq5w7uv4e5gf,238253,4
82,Stuck with U (with Justin Bieber),spotify:track:4HBZA5flZLE435QTztThqH,0.597,0.45,8,-6.658,1,0.0418,0.223,0,0.382,0.537,178.765,audio_features,4HBZA5flZLE435QTztThqH,spotify:track:4HBZA5flZLE435QTztThqH,https://api.spotify.com/v1/tracks/4HBZA5flZLE435QTztThqH,https://api.spotify.com/v1/audio-analysis/4HBZA5flZLE435QTztThqH,228482,3
84,family ties (with Kendrick Lamar),spotify:track:3QFInJAm9eyaho5vBzxInN,0.711,0.611,1,-5.453,1,0.33,0.00588,0,0.23,0.144,134.093,audio_features,3QFInJAm9eyaho5vBzxInN,spotify:track:3QFInJAm9eyaho5vBzxInN,https://api.spotify.com/v1/tracks/3QFInJAm9eyaho5vBzxInN,https://api.spotify.com/v1/audio-analysis/3QFInJAm9eyaho5vBzxInN,252262,4
83,ORANGE SODA,spotify:track:5FkoSXiJPKTNyYgALRJFhD,0.83,0.564,1,-7.822,1,0.235,0.177,0,0.128,0.107,85.042,audio_features,5FkoSXiJPKTNyYgALRJFhD,spotify:track:5FkoSXiJPKTNyYgALRJFhD,https://api.spotify.com/v1/tracks/5FkoSXiJPKTNyYgALRJFhD,https://api.spotify.com/v1/audio-analysis/5FkoSXiJPKTNyYgALRJFhD,129882,4
83,HONEST,spotify:track:58k32my5lKofeZRtIvBDg9,0.676,0.536,2,-8.79,1,0.0432,0.403,3.37E-05,0.105,0.373,79.037,audio_features,58k32my5lKofeZRtIvBDg9,spotify:track:58k32my5lKofeZRtIvBDg9,https://api.spotify.com/v1/tracks/58k32my5lKofeZRtIvBDg9,https://api.spotify.com/v1/audio-analysis/58k32my5lKofeZRtIvBDg9,172672,4
80,16,spotify:track:1Is8hGpkGMiePASAxBluxM,0.701,0.782,1,-4.987,1,0.138,0.0918,2.31E-06,0.124,0.57,94.03,audio_features,1Is8hGpkGMiePASAxBluxM,spotify:track:1Is8hGpkGMiePASAxBluxM,https://api.spotify.com/v1/tracks/1Is8hGpkGMiePASAxBluxM,https://api.spotify.com/v1/audio-analysis/1Is8hGpkGMiePASAxBluxM,156040,4
78,The Hillbillies,spotify:track:1h6w4POXM2LfG4ZD4xUfZQ,0.814,0.606,1,-6.378,1,0.243,0.0166,0,0.125,0.208,150.005,audio_features,1h6w4POXM2LfG4ZD4xUfZQ,spotify:track:1h6w4POXM2LfG4ZD4xUfZQ,https://api.spotify.com/v1/tracks/1h6w4POXM2LfG4ZD4xUfZQ,https://api.spotify.com/v1/audio-analysis/1h6w4POXM2LfG4ZD4xUfZQ,204800,4
74,trademark usa,spotify:track:15hJmqqEtASVXl6sM7i4UF,0.615,0.6,10,-5.62,1,0.27,0.107,1.61E-06,0.283,0.0661,130.027,audio_features,15hJmqqEtASVXl6sM7i4UF,spotify:track:15hJmqqEtASVXl6sM7i4UF,https://api.spotify.com/v1/tracks/15hJmqqEtASVXl6sM7i4UF,https://api.spotify.com/v1/audio-analysis/15hJmqqEtASVXl6sM7i4UF,270671,4
74,lost souls (with Brent Faiyaz),spotify:track:02rdXe0KhMe8p6ZHzYtuw0,0.649,0.347,1,-7.67,0,0.404,0.485,3.24E-05,0.154,0.176,169.994,audio_features,02rdXe0KhMe8p6ZHzYtuw0,spotify:track:02rdXe0KhMe8p6ZHzYtuw0,https://api.spotify.com/v1/tracks/02rdXe0KhMe8p6ZHzYtuw0,https://api.spotify.com/v1/audio-analysis/02rdXe0KhMe8p6ZHzYtuw0,269728,4
73,highway 95,spotify:track:2E4INiVkDRBXXkFL4kB1Vk,0.77,0.836,7,-5.322,1,0.065,0.0548,0,0.143,0.425,84.944,audio_features,2E4INiVkDRBXXkFL4kB1Vk,spotify:track:2E4INiVkDRBXXkFL4kB1Vk,https://api.spotify.com/v1/tracks/2E4INiVkDRBXXkFL4kB1Vk,https://api.spotify.com/v1/audio-analysis/2E4INiVkDRBXXkFL4kB1Vk,91783,4
71,vent,spotify:track:1ITpqT1kDATCtMBwOK7sYn,0.896,0.377,9,-5.502,1,0.0935,0.0123,1.43E-06,0.115,0.255,113.886,audio_features,1ITpqT1kDATCtMBwOK7sYn,spotify:track:1ITpqT1kDATCtMBwOK7sYn,https://api.spotify.com/v1/tracks/1ITpqT1kDATCtMBwOK7sYn,https://api.spotify.com/v1/audio-analysis/1ITpqT1kDATCtMBwOK7sYn,136573,4
65,durag activity (with Travis Scott),spotify:track:6c5wQFfJApRMooKE7UQnlH,0.893,0.759,2,-4.245,1,0.309,0.00404,0,0.0865,0.498,80.45,audio_features,6c5wQFfJApRMooKE7UQnlH,spotify:track:6c5wQFfJApRMooKE7UQnlH,https://api.spotify.com/v1/tracks/6c5wQFfJApRMooKE7UQnlH,https://api.spotify.com/v1/audio-analysis/6c5wQFfJApRMooKE7UQnlH,224457,4
98,vampire,spotify:track:3k79jB4aGmMDUQzEwa46Rz,0.511,0.532,5,-5.745,1,0.056,0.169,0,0.311,0.322,137.827,audio_features,3k79jB4aGmMDUQzEwa46Rz,spotify:track:3k79jB4aGmMDUQzEwa46Rz,https://api.spotify.com/v1/tracks/3k79jB4aGmMDUQzEwa46Rz,https://api.spotify.com/v1/audio-analysis/3k79jB4aGmMDUQzEwa46Rz,219724,4
88,bad idea right?,spotify:track:2i8f4VnnBjy0yDqH2C452a,0.628,0.878,9,-3.468,1,0.0901,0.00196,1.23E-05,0.0649,0.796,129.976,audio_features,2i8f4VnnBjy0yDqH2C452a,spotify:track:2i8f4VnnBjy0yDqH2C452a,https://api.spotify.com/v1/tracks/2i8f4VnnBjy0yDqH2C452a,https://api.spotify.com/v1/audio-analysis/2i8f4VnnBjy0yDqH2C452a,184784,4
88,drivers license,spotify:track:5wANPM4fQCJwkGd4rN57mH,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42E-05,0.106,0.137,143.875,audio_features,5wANPM4fQCJwkGd4rN57mH,spotify:track:5wANPM4fQCJwkGd4rN57mH,https://api.spotify.com/v1/tracks/5wANPM4fQCJwkGd4rN57mH,https://api.spotify.com/v1/audio-analysis/5wANPM4fQCJwkGd4rN57mH,242013,4
88,traitor,spotify:track:5CZ40GBx1sQ9agT82CLQCT,0.38,0.339,3,-7.885,1,0.0338,0.691,0,0.12,0.0849,100.607,audio_features,5CZ40GBx1sQ9agT82CLQCT,spotify:track:5CZ40GBx1sQ9agT82CLQCT,https://api.spotify.com/v1/tracks/5CZ40GBx1sQ9agT82CLQCT,https://api.spotify.com/v1/audio-analysis/5CZ40GBx1sQ9agT82CLQCT,229227,4
88,deja vu,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,0.442,0.612,2,-7.222,1,0.112,0.584,5.70E-06,0.37,0.178,180.917,audio_features,6HU7h9RYOaPRFeh0R3UeAr,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,https://api.spotify.com/v1/tracks/6HU7h9RYOaPRFeh0R3UeAr,https://api.spotify.com/v1/audio-analysis/6HU7h9RYOaPRFeh0R3UeAr,215507,4
87,good 4 u,spotify:track:4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,9,-5.044,1,0.154,0.335,0,0.0849,0.688,166.928,audio_features,4ZtFanR9U6ndgddUvNcjcG,spotify:track:4ZtFanR9U6ndgddUvNcjcG,https://api.spotify.com/v1/tracks/4ZtFanR9U6ndgddUvNcjcG,https://api.spotify.com/v1/audio-analysis/4ZtFanR9U6ndgddUvNcjcG,178147,4
86,happier,spotify:track:2tGvwE8GcFKwNdAXMnlbfl,0.395,0.443,6,-9.72,1,0.133,0.765,9.67E-06,0.0839,0.338,168.924,audio_features,2tGvwE8GcFKwNdAXMnlbfl,spotify:track:2tGvwE8GcFKwNdAXMnlbfl,https://api.spotify.com/v1/tracks/2tGvwE8GcFKwNdAXMnlbfl,https://api.spotify.com/v1/audio-analysis/2tGvwE8GcFKwNdAXMnlbfl,175933,3
86,favorite crime,spotify:track:5JCoSi02qi3jJeHdZXMmR8,0.369,0.272,9,-10.497,1,0.0364,0.866,0,0.147,0.218,172.929,audio_features,5JCoSi02qi3jJeHdZXMmR8,spotify:track:5JCoSi02qi3jJeHdZXMmR8,https://api.spotify.com/v1/tracks/5JCoSi02qi3jJeHdZXMmR8,https://api.spotify.com/v1/audio-analysis/5JCoSi02qi3jJeHdZXMmR8,152667,4
84,"jealousy, jealousy",spotify:track:0MMyJUC3WNnFS1lit5pTjk,0.695,0.575,10,-6.334,0,0.116,0.198,0,0.0614,0.699,163.929,audio_features,0MMyJUC3WNnFS1lit5pTjk,spotify:track:0MMyJUC3WNnFS1lit5pTjk,https://api.spotify.com/v1/tracks/0MMyJUC3WNnFS1lit5pTjk,https://api.spotify.com/v1/audio-analysis/0MMyJUC3WNnFS1lit5pTjk,173160,4
80,"All I Want - From ""High School Musical: The Musical: The Series""",spotify:track:4Yxc55NX3tAXC2mHRAhtcW,0.376,0.43,0,-6.585,0,0.0328,0.0902,0,0.0912,0.129,77.599,audio_features,4Yxc55NX3tAXC2mHRAhtcW,spotify:track:4Yxc55NX3tAXC2mHRAhtcW,https://api.spotify.com/v1/tracks/4Yxc55NX3tAXC2mHRAhtcW,https://api.spotify.com/v1/audio-analysis/4Yxc55NX3tAXC2mHRAhtcW,177323,3
79,"I miss you, I’m sorry",spotify:track:4nyF5lmSziBAt7ESAUjpbx,0.445,0.455,7,-6.405,1,0.0575,0.731,1.47E-06,0.124,0.151,109.885,audio_features,4nyF5lmSziBAt7ESAUjpbx,spotify:track:4nyF5lmSziBAt7ESAUjpbx,https://api.spotify.com/v1/tracks/4nyF5lmSziBAt7ESAUjpbx,https://api.spotify.com/v1/audio-analysis/4nyF5lmSziBAt7ESAUjpbx,167538,5
74,Feels Like,spotify:track:35IcAVSMsU9qzHfpPbvC8A,0.617,0.483,11,-7.359,1,0.0458,0.702,0.000216,0.121,0.176,144.99,audio_features,35IcAVSMsU9qzHfpPbvC8A,spotify:track:35IcAVSMsU9qzHfpPbvC8A,https://api.spotify.com/v1/tracks/35IcAVSMsU9qzHfpPbvC8A,https://api.spotify.com/v1/audio-analysis/35IcAVSMsU9qzHfpPbvC8A,152318,4
72,Mess It Up,spotify:track:0PLhwCmQ7cC3ThRGPn3HxF,0.765,0.582,0,-4.528,1,0.12,0.245,8.21E-05,0.154,0.36,132.992,audio_features,0PLhwCmQ7cC3ThRGPn3HxF,spotify:track:0PLhwCmQ7cC3ThRGPn3HxF,https://api.spotify.com/v1/tracks/0PLhwCmQ7cC3ThRGPn3HxF,https://api.spotify.com/v1/audio-analysis/0PLhwCmQ7cC3ThRGPn3HxF,171280,4
71,I know it won't work,spotify:track:33uKUpu9ZXsHhcxRLoxnWI,0.656,0.584,5,-8.959,0,0.0524,0.544,5.51E-05,0.13,0.445,119.871,audio_features,33uKUpu9ZXsHhcxRLoxnWI,spotify:track:33uKUpu9ZXsHhcxRLoxnWI,https://api.spotify.com/v1/tracks/33uKUpu9ZXsHhcxRLoxnWI,https://api.spotify.com/v1/audio-analysis/33uKUpu9ZXsHhcxRLoxnWI,245629,4
72,21,spotify:track:5meVa5klVlJalupZTvv5XX,0.759,0.665,2,-6.338,1,0.0861,0.494,0,0.109,0.391,125.056,audio_features,5meVa5klVlJalupZTvv5XX,spotify:track:5meVa5klVlJalupZTvv5XX,https://api.spotify.com/v1/tracks/5meVa5klVlJalupZTvv5XX,https://api.spotify.com/v1/audio-analysis/5meVa5klVlJalupZTvv5XX,185173,4
70,Stay,spotify:track:0Uon5NsSAkBDx69XYOaQ5P,0.618,0.37,10,-10.5,1,0.0543,0.883,0,0.123,0.433,114.26,audio_features,0Uon5NsSAkBDx69XYOaQ5P,spotify:track:0Uon5NsSAkBDx69XYOaQ5P,https://api.spotify.com/v1/tracks/0Uon5NsSAkBDx69XYOaQ5P,https://api.spotify.com/v1/audio-analysis/0Uon5NsSAkBDx69XYOaQ5P,177153,4
